DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,
identifier,contributor,title,description,subject,date,publisher,relation,size,type,department,
other,,none,,,issued,none,ispartofseries,,,,
94,Đào Thị Mơ,Giải pháp tăng cường công tác huy động vốn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội,"Đề tài đã hệ thống hóa những vấn đề lý thuyết cơ bản về hoạt động huy động vốn của Ngân hàng cùng với việc phân tích thực trạng công tác huy động vốn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội trong những năm gần đây. Qua đó thấy được những thành tựu, hạn chế và nguyên nhân để trên cơ sở đó đề xuất một số giải pháp nhằm tăng cường công tác huy động vốn tại Sở giao dịch Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam chi nhánh Hà Nội",Tài chính ngân hàng; Giải pháp; Huy động vốn; Sở giao dịch; Ngân hàng thương mại cổ phần Ngoại thương Việt Nam; Chi nhánh Hà Nội,2013,Trường Đại học Dân lập Hải Phòng,95,1.287,Khóa luận,Tài chính ngân hàng,1_DaoThiMo_QT1302T.pdf
95,Đỗ Thị Nga,Giải pháp nâng cao chất lượng tín dụng đối với doanh nghiệp vừa và nhỏ tại Ngân hàng TMCP Đầu tư và Phát triển Việt Nam Chi nhánh Quảng Ninh - Phòng giao dịch Cẩm Phả,"Ngoài phần mở đầu và kết luận, nội dung chính của đề tài gồm 3 chương:
Chương 1: Cơ sở lý luận về chất lượng tín dụng đối với doanh nghiệp vừa và nhỏ tại ngân hàng thương mại
Chương 2: Thực trạng chất lượng tín dụng đối với doanh nghiệp vừa và nhỏ tại phòng giao dịch Cẩm Phả - chi nhánh BIDV Quảng Ninh
Chương 3: Giải pháp và kiến nghị nhằm nâng cao chất lượng tín dụng doanh nghiệp vừa và nhỏ tại PGD Cẩm Phả - CN BIDV Quảng Ninh.",Tài chính ngân hàng; Chất lượng tín dụng; Doanh nghiệp vừa và nhỏ; Ngân hàng đầu tư và phát triển Việt Nam; Chi nhánh Quảng Ninh; Phòng giao dịch Cẩm Phả,2013,Trường Đại học Dân lập Hải Phòng,110,4.243,Khóa luận,Tài chính ngân hàng,2_DoThiNga_QT1301T.pdf
96,Trần Thị Lan Chi,Một số giải pháp nhằm nâng cao chất lượng tín dụng đối với hộ sản xuất tại Ngân hàng Nông nghiệp và Phát Triển nông thôn Quảng Ninh – Chi nhánh Quảng Yên,"Ngoài mở đầu, kết luận và tài liệu tham khảo, Khóa luận được kết cấu như sau:
Chương 1: Lý luận chung về tín dụng và chất lượng tín dụng ngân hàng đối với kinh tế hộ sản xuất nông nghiệp.
Chương 2: Thực trạng hoạt động tín dụng đối với kinh tế hộ sản xuất nông nghiệp tại NHNo&PTNT Quảng Ninh - chi nhánh Quảng Yên. 
Chương 3: Giải pháp nâng cao chất lượng tín dụng đối với hộ sản xuất ở NHNo&PTNT Quảng Ninh – Chi nhánh Quảng Yên.
",Tài chính ngân hàng; Chất lượng tín dụng; Hộ sản xuất; Ngân hàng nông nghiệp và phát triển nông thôn Quảng Ninh; Chi nhánh Quảng Yên,2013,Trường Đại học Dân lập Hải Phòng,98,7.214,Khóa luận,Tài chính ngân hàng,3_TranThiLanChi_QT1301T.pdf
97,Bùi Thị Như Quỳnh,Quản lý rủi ro tín dụng tại Ngân hàng thương mại cổ phần Công thương Việt Nam – Chi nhánh Đồ Sơn,"Chuyên đề được trình bày theo 3 chương:
Chương 1: Ngân hàng thương mại và rủi ro tín dụng trong hoạt động thương mại. 
Chương 2: Thực trạng quản lý rủi ro tín dụng tại Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Đồ Sơn.
Chương 3: Các giải pháp phòng ngừa và hạn chế rủi ro tín dụng tại  Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Đồ Sơn.
",Tài chính ngân hàng; Quản lý rủi ro; Rủi ro tín dụng; Ngân hàng thương mại cổ phần công thương Việt Nam; Chi nhánh Đồ Sơn,2013,Trường Đại học Dân lập Hải Phòng,86,1.642,Khóa luận,Tài chính ngân hàng,4_BuiThiNhuQuynh_QT1303T.pdf
98,Nguyễn Thị Hợp,Một số biện pháp hạn chế rủi ro tín dụng tại Ngân hàng Thương mại cổ phần Sài Gòn Thương Tín- Chi nhánh Hải Phòng,"Rủi ro tín dụng là một trong những rủi ro đặc thù của các NHTM. Đối với một Ngân hàng mà hoạt động chủ yếu trong các ngành công nghiệp và thương mại của đất nước, với những biến động thất thường của các yếu tố thị trường như hiện nay, vấn đề phòng chống rủi ro và đưa ra những khắc phục kịp thời tránh những tổn thất, thiệt hại cho hoạt động kinh doanh được đặt lên hàng đầu.",Tài chính ngân hàng; Hạn chế rủi ro; Rủi ro tín dụng; Ngân hàng thương mại cổ phần Sài Gòn Thương Tín; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,83,1.163,Khóa luận,Tài chính ngân hàng,5_NguyenThiHop_QT1302T.pdf
99,Đặng Thân Thân,Giải pháp nâng cao hiệu quả hoạt động huy động vốn tại Ngân hàng thương mại cổ phần Công thương Việt Nam – Chi nhánh Hải Phòng,"Ngân hàng thương mại với vai trò là trung gian tài chính trong việc huy động vốn để tái cấp vốn cho nền kinh tế là quan trọng nhất. Tuy nhiên Ngân hàng là một loại hình doanh nghiệp đặc biệt, kinh doanh chủ yếu trên lĩnh vực tiền tệ nên bắt buộc phải hoạt động có hiệu quả để vừa đảm bảo mục tiêu an toàn trong hoạt động, vừa có thể đứng vững trong nền kinh tế thị trường và qua đó, thực hiện có hiệu quả vai trò dẫn vốn của mình.",Tài chính ngân hàng; Hiệu quả hoạt động; Huy động vốn; Ngân hàng thương mại cổ phần Công thương Việt Nam; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,82,1.098,Khóa luận,Tài chính ngân hàng,6_DangThanThan_QT1303T.pdf
100,Phạm Thu Hiền,Một số giải pháp nâng cao chất lượng tín dụng tài trợ dự án đầu tư tại ngân hàng TMCP Sài Gòn Thương Tín chi nhánh Hải Phòng,"Nội dung bài viết gồm 3 chương:
Chương I: Cơ sở lý luận về dự án đầu tư và cho vay theo dự án đầu tư của ngân hàng thương mại
Chương II: Thực trạng hoạt động tín dụng tài trợ dự án đầu tư tại ngân hàng TMCP Sài Gòn Thương Tín chi nhánh Hải Phòng.
Chương III: Một số giải pháp nâng cao chất lượng tín dụng tài trợ dự án đầu tư tại ngân hàng TMCP Sài Gòn Thương Tín chi nhánh Hải Phòng.
",Tài chính ngân hàng; Chất lượng tín dụng; Tài trợ; Dự án đầu tư; Ngân hàng Sài Gòn thương tín; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,87,1.016,Khóa luận,Tài chính ngân hàng,7_PhamThuHien_QT1301T.pdf
101,Trịnh Thị Thu Hằng,Nâng cao hiệu quả cho vay ngắn hạn tại Ngân hàng TMCP Sài Gòn Thương Tín Chi nhánh Hải Phòng,"Đề tài chủ yếu tập trung đánh giá thực trạng cho vay ngắn hạn (theo từng mục đích vay) qua những thông số liên quan đến cho vay như: doanh số cho vay, tình hình thu nợ, dư nợ, nợ quá hạn, nợ xấu từ đó đề ra một số giải pháp, kiến nghị nhằm nâng cao hiệu quả cho vay ngắn hạn theo từng đối tượng và mục đích cho vay tại Ngân hàng TMCP Sài Gòn Thương Tín Chi nhánh Hải Phòng trong giai đoạn 2010 - 2012.",Tài chính ngân hàng; Hiệu quả; Vay ngắn hạn; Ngân hàng Sài Gòn Thương Tín; Chi nhánh Hải Phòng,2013,Trường Đại học Dân lập Hải Phòng,91,1.938,Khóa luận,Tài chính ngân hàng,8_TrinhThiThuHang_QT1301T.pdf
